token,tag
The,O
Persian,O
Gulf,O
showdown,O
between,O
Iraq,O
and,O
the,O
United,O
States,O
took,O
a,O
more,O
personal,O
turn,O
Thursday,B-DATE
when,O
Iraq,O
',O
s,O
Saddam,O
Hussein,O
called,O
President,O
Bush,O
a,O
liar,O
and,O
said,O
the,O
outbreak,O
of,O
holy,O
war,O
could,O
bring,O
thousands,O
of,O
Americans,O
home,O
in,O
coffins,O
.,O
Bush,O
",",O
commenting,O
on,O
the,O
two,B-DURATION
-,I-DURATION
week,I-DURATION
gulf,O
crisis,O
from,O
his,O
vacation,O
home,O
in,O
Maine,O
",",O
said,O
he,O
saw,O
little,O
reason,O
to,O
be,O
optimistic,O
about,O
a,O
settlement,O
of,O
the,O
dispute,O
",",O
which,O
stems,O
from,O
Iraq,O
',O
s,O
invasion,O
of,O
oil,O
-,O
wealthy,O
Kuwait,O
and,O
its,O
subsequent,O
military,O
buildup,O
on,O
the,O
border,O
of,O
Saudi,O
Arabia,O
.,O
After,O
a,O
two,B-DURATION
-,I-DURATION
hour,I-DURATION
meeting,O
at,O
his,O
Kennebunkport,O
home,O
with,O
King,O
Hussein,O
of,O
Jordan,O
",",O
Bush,O
said,O
",",O
``,O
I,O
did,O
not,O
come,O
away,O
with,O
any,O
feeling,O
of,O
hope,O
'',O
that,O
Iraq,O
would,O
withdraw,O
its,O
army,O
from,O
Kuwait,O
.,O
Bush,O
also,O
said,O
Thursday,B-DATE
that,O
King,O
Hussein,O
assured,O
him,O
Jordan,O
would,O
close,O
the,O
last,O
remaining,O
free,O
port,O
to,O
most,O
Iraqi,O
trade,O
as,O
the,O
economic,O
embargo,O
on,O
materials,O
to,O
Iraq,O
continued,O
unabated,O
.,O
Foodstuffs,O
are,O
among,O
the,O
goods,O
being,O
blocked,O
from,O
entry,O
;,O
Iraq,O
imports,O
about,O
three,O
-,O
quarters,O
of,O
its,O
food,O
.,O
Pentagon,O
sources,O
in,O
Washington,O
meanwhile,O
said,O
the,O
Bush,O
administration,O
plans,O
to,O
deploy,O
45,O
",",O
000,O
Marines,O
to,O
the,O
region,O
to,O
back,O
up,O
the,O
thousands,O
of,O
Army,O
",",O
Navy,O
and,O
Air,O
Force,O
troops,O
already,O
in,O
place,O
in,O
the,O
gulf,O
and,O
the,O
Saudi,O
desert,O
.,O
At,O
a,O
news,O
conference,O
",",O
Secretary,O
of,O
State,O
James,O
A,O
.,O
Baker,O
III,O
said,O
Jordan,O
``,O
is,O
seeking,O
some,O
guidance,O
'',O
about,O
a,O
provision,O
in,O
the,O
U,O
.,O
N,O
.-,O
backed,O
trade,O
embargo,O
that,O
allows,O
food,O
for,O
humanitarian,O
purposes,O
.,O
Worries,O
however,O
grew,O
about,O
the,O
safety,O
of,O
Americans,O
and,O
other,O
Westerners,O
trapped,O
in,O
Kuwait,O
.,O
Iraqi,O
military,O
authorities,O
ordered,O
all,O
Americans,O
and,O
Britons,O
in,O
Kuwait,O
to,O
assemble,O
at,O
a,O
hotel,O
",",O
officials,O
said,O
.,O
``,O
Very,O
few,O
'',O
of,O
the,O
2,O
",",O
500,O
Americans,O
in,O
occupied,O
Kuwait,O
complied,O
with,O
the,O
order,O
",",O
a,O
senior,O
U,O
.,O
S,O
.,O
official,O
told,O
The,O
Associated,O
Press,O
.,O
Iraq,O
said,O
the,O
roundup,O
was,O
to,O
protect,O
them,O
from,O
unspecified,O
threats,O
;,O
British,O
Foreign,O
Office,O
minister,O
William,O
Waldegrave,O
called,O
the,O
order,O
``,O
grave,O
and,O
sinister,O
.'',O
``,O
What,O
we,O
fear,O
is,O
that,O
they,O
will,O
be,O
interned,O
somewhere,O
",",O
most,O
likely,O
in,O
Iraq,O
