token,tag
The,O
FBI,O
has,O
interviewed,O
and,O
released,O
one,O
of,O
two,O
men,O
who,O
were,O
sought,O
last,B-DATE
week,I-DATE
for,O
questioning,O
in,O
connection,O
with,O
the,O
sniper,O
slaying,O
of,O
a,O
doctor,O
in,O
the,O
Buffalo,O
",",O
N,O
.,O
Y,O
".,",O
area,O
who,O
performed,O
abortions,O
.,O
The,O
two,O
men,O
",",O
Ronald,O
Stauber,O
and,O
Michael,O
Gingrich,O
",",O
were,O
named,O
Thursday,B-DATE
in,O
a,O
bulletin,O
sent,O
by,O
the,O
FBI,O
office,O
in,O
Cleveland,O
to,O
police,O
departments,O
across,O
the,O
country,O
.,O
The,O
men,O
were,O
not,O
termed,O
suspects,O
",",O
and,O
FBI,O
officials,O
on,O
Saturday,B-DATE
played,O
down,O
the,O
likelihood,O
that,O
either,O
was,O
involved,O
in,O
the,O
Oct,B-DATE
.,I-DATE
23,I-DATE
killing,O
of,O
the,O
doctor,O
",",O
Barnett,O
Slepian,O
.,O
``,O
We,O
are,O
doing,O
dozens,O
if,O
not,O
hundreds,O
of,O
interviews,O
a,O
day,B-SET
",''",O
said,O
Paul,O
Moskal,O
",",O
a,O
spokesman,O
for,O
the,O
FBI,O
office,O
in,O
Buffalo,O
.,O
``,O
I,O
know,O
of,O
no,O
information,O
that,O
would,O
treat,O
these,O
two,O
differently,O
or,O
would,O
put,O
them,O
in,O
any,O
other,O
category,O
from,O
the,O
hundreds,O
of,O
leads,O
we,O
',O
re,O
investigating,O
on,O
a,O
daily,B-SET
basis,O
.'',O
Moskal,O
said,O
one,O
of,O
the,O
two,O
men,O
_,O
he,O
said,O
he,O
did,O
not,O
know,O
which,O
one,O
_,O
had,O
been,O
located,O
",",O
interviewed,O
and,O
released,O
.,O
In,O
its,O
Friday,B-DATE
issue,O
",",O
The,O
Hamilton,O
(,O
Ontario,O
),O
Spectator,O
quoted,O
an,O
officer,O
in,O
the,O
Amherst,O
",",O
N,O
.,O
Y,O
".,",O
Police,O
Department,O
as,O
saying,O
that,O
the,O
FBI,O
.,O
bulletin,O
had,O
indicated,O
possible,O
links,O
between,O
the,O
two,O
men,O
and,O
James,O
Charles,O
Kopp,O
",",O
an,O
abortion,O
opponent,O
who,O
is,O
being,O
sought,O
as,O
a,O
material,O
witness,O
in,O
the,O
case,O
.,O
Amherst,O
police,O
officials,O
declined,O
to,O
comment,O
Saturday,B-DATE
.,O
Slepian,O
",",O
52,O
",",O
an,O
obstetrician,O
and,O
gynecologist,O
",",O
was,O
shot,O
through,O
the,O
kitchen,O
window,O
of,O
his,O
home,O
in,O
Amherst,O
shortly,O
after,O
he,O
and,O
his,O
wife,O
returned,O
home,O
from,O
synagogue,O
on,O
the,O
night,O
of,O
Friday,B-DATE
",",I-DATE
Oct,B-DATE
.,I-DATE
23,I-DATE
.,O
He,O
was,O
one,O
of,O
three,O
doctors,O
who,O
performed,O
abortions,O
in,O
the,O
Buffalo,O
area,O
.,O
Investigators,O
in,O
Canada,O
and,O
the,O
United,O
States,O
are,O
also,O
looking,O
into,O
four,O
other,O
sniper,O
attacks,O
on,O
doctors,O
who,O
performed,O
abortions,O
in,O
Canada,O
and,O
western,O
New,O
York,O
.,O
Moskal,O
said,O
the,O
two,O
men,O
apparently,O
showed,O
up,O
at,O
Slepian,O
',O
s,O
house,O
the,O
day,B-SET
after,O
his,O
death,O
.,O
They,O
were,O
trying,O
to,O
attend,O
a,O
prayer,O
vigil,O
for,O
Slepian,O
but,O
had,O
been,O
sent,O
to,O
his,O
house,O
by,O
mistake,O
",",O
and,O
a,O
police,O
officer,O
on,O
duty,O
took,O
their,O
names,O
",",O
Moskal,O
said,O
.,O
``,O
They,O
were,O
being,O
sought,O
for,O
interviews,O
just,O
because,O
they,O
were,O
literally,O
in,O
the,O
area,O
after,O
the,O
homicide,O
",''",O
he,O
said,O
.,O
FBI,O
officials,O
said,O
they,O
were,O
not,O
certain,O
whether,O
Stauber,O
or,O
Gingrich,O
had,O
been,O
involved,O
in,O
antiabortion,O
activities,O
.,O
The,O
two,O
men,O
are,O
believed,O
to,O
live,O
in,O
the,O
Cleveland,O
area,O
.,O
Inspector,O
Keith,O
MacCaskill,O
of,O
the,O
Winnipeg,O
Police,O
Service,O
",",O
a,O
Canadian,O
member,O
of,O
a,O
law,O
-,O
enforcement,O
task,O
force,O
investigating,O
all,O
five,O
of,O
the,O
shootings,O
",",O
said,O
he,O
had,O
never,O
heard,O
of,O
the,O
men,O
.,O
Moskal,O
emphasized,O
that,O
no,O
one,O
has,O
been,O
named,O
as,O
a,O
suspect,O
in,O
Slepian,O
',O
s,O
death,O
.,O
``,O
Just,O
the,O
fact,O
that,O
we,O
are,O
interviewing,O
anyone,O
doesn,O
',O
t,O
make,O
them,O
a,O
subject,O
or,O
a,O
suspect,O
in,O
this,O
",''",O
he,O
said,O
.,O
