token,tag
Tomorrow,B-DATE
the,O
board,O
of,O
supervisors,O
of,O
Loudon,O
county,O
",",O
Virginia,O
",",O
will,O
vote,O
on,O
whether,O
a,O
school,O
now,B-DATE
located,O
in,O
Mount,O
Vernon,O
can,O
relocate,O
to,O
their,O
county,O
.,O
In,O
some,O
respects,O
",",O
that,O
',O
s,O
typical,O
county,O
business,O
",",O
but,O
tomorrow,B-DATE
',O
s,O
vote,O
has,O
international,O
implications,O
.,O
The,O
board,O
will,O
decide,O
whether,O
the,O
Islamic,O
Saudi,O
Academy,O
",",O
funded,O
by,O
the,O
government,O
of,O
Saudi,O
Arabia,O
",",O
can,O
move,O
to,O
Ashburn,O
village,O
",",O
Virginia,O
.,O
But,O
local,O
residents,O
have,O
not,O
exactly,O
laid,O
out,O
the,O
red,O
carpet,O
for,O
their,O
would,O
be,O
neighbors,O
.,O
The,O
World,O
',O
s,O
Nancy,O
Marshalll,O
has,O
our,O
story,O
.,O
Inside,O
the,O
Islamic,O
Saudi,O
academy,O
in,O
Mount,O
Vernon,O
",",O
Virginia,O
",",O
many,O
of,O
the,O
girls,O
wear,O
head,O
scarves,O
and,O
some,O
of,O
the,O
neatly,O
dressed,O
children,O
are,O
in,O
uniforms,O
.,O
The,O
instruction,O
is,O
in,O
English,O
for,O
most,O
classes,O
",",O
in,O
Arabic,O
for,O
language,O
and,O
religious,O
studies,O
.,O
The,O
school,O
says,O
it,O
teaches,O
the,O
children,O
to,O
be,O
good,O
Muslims,O
and,O
good,O
students,O
.,O
They,O
',O
re,O
learning,O
a,O
civics,O
lesson,O
from,O
the,O
residents,O
of,O
Loudon,O
county,O
.,O
The,O
Islamic,O
Saudi,O
Academy,O
has,O
twelve,O
hundred,O
mostly,O
American,O
students,O
but,O
would,O
take,O
thirty,O
-,O
five,O
hundred,O
if,O
it,O
had,O
the,O
room,O
.,O
The,O
academy,O
bought,O
a,O
hundred,O
acres,O
in,O
Loudon,O
county,O
",",O
Virginia,O
",",O
and,O
asked,O
for,O
permission,O
to,O
build,O
a,O
fifty,O
million,O
dollar,O
campus,O
.,O
In,O
the,O
nearby,O
suburban,O
housing,O
tracts,O
",",O
someone,O
dropped,O
off,O
leaflets,O
warning,O
the,O
school,O
could,O
bring,O
thousands,O
of,O
Middle,O
Eastern,O
strangers,O
and,O
terrorists,O
.,O
Some,O
residents,O
of,O
the,O
mostly,O
white,O
",",O
mostly,O
middle,O
class,O
area,O
became,O
alarmed,O
.,O
James,O
Zogby,O
of,O
the,O
Arab,O
American,O
Institute,O
says,O
it,O
',O
s,O
a,O
familiar,O
story,O
.,O
There,O
is,O
",",O
a,O
-,O
at,O
a,O
very,O
deep,O
level,O
in,O
our,O
culture,O
",",O
um,O
I,O
think,O
",",O
a,O
sense,O
of,O
",",O
of,O
ignorance,O
about,O
Islam,O
",",O
a,O
fear,O
about,O
who,O
Muslims,O
are,O
and,O
what,O
they,O
',O
re,O
doing,O
.,O
Many,O
local,O
residents,O
denounced,O
the,O
bigotry,O
",",O
but,O
opposition,O
to,O
the,O
school,O
then,O
shifted,O
.,O
Now,B-DATE
