token,tag
One,O
of,O
President,O
Bush,O
',O
s,O
sons,O
has,O
informed,O
White,O
House,O
Chief,O
of,O
Staff,O
John,O
Sununu,O
that,O
he,O
has,O
lost,O
much,O
of,O
his,O
support,O
among,O
Republicans,O
",",O
prompting,O
an,O
intense,O
effort,O
by,O
Sununu,O
to,O
hold,O
on,O
to,O
his,O
job,O
by,O
demonstrating,O
his,O
GOP,O
backing,O
",",O
White,O
House,O
and,O
Republican,O
sources,O
said,O
Monday,B-DATE
.,O
Sununu,O
was,O
told,O
Wednesday,B-DATE
by,O
Bush,O
',O
s,O
son,O
",",O
George,O
",",O
that,O
he,O
had,O
alienated,O
members,O
of,O
the,O
Cabinet,O
",",O
the,O
White,O
House,O
staff,O
and,O
the,O
Republican,O
political,O
community,O
",",O
creating,O
a,O
situation,O
that,O
puts,O
his,O
effectiveness,O
in,O
significant,O
doubt,O
",",O
the,O
sources,O
said,O
.,O
The,O
message,O
to,O
the,O
chief,O
of,O
staff,O
was,O
meant,O
to,O
be,O
taken,O
as,O
a,O
suggestion,O
that,O
Sununu,O
offer,O
to,O
resign,O
",",O
one,O
highly,O
placed,O
source,O
said,O
.,O
Instead,O
",",O
Sununu,O
sought,O
to,O
prove,O
to,O
the,O
president,O
that,O
his,O
supporters,O
outnumber,O
his,O
critics,O
and,O
that,O
he,O
should,O
remain,O
in,O
his,O
post,O
.,O
One,O
senior,O
official,O
Monday,B-DATE
described,O
the,O
White,O
House,O
as,O
"""",O
a,O
collection,O
of,O
small,O
groups,O
of,O
aides,O
holding,O
their,O
breaths,O
",",O
"""",O
waiting,O
to,O
see,O
whether,O
Sununu,O
survives,O
.,O
One,O
GOP,O
source,O
",",O
reporting,O
on,O
a,O
call,O
from,O
the,O
chief,O
of,O
staff,O
to,O
a,O
Republican,O
leader,O
",",O
said,O
Sununu,O
lamented,O
that,O
"""",O
the,O
noose,O
is,O
tightening,O
around,O
my,O
neck,O
",",O
and,O
I,O
need,O
your,O
help,O
"."";",O
Another,O
highly,O
placed,O
source,O
said,O
the,O
president,O
',O
s,O
son,O
met,O
with,O
Sununu,O
last,B-DATE
week,I-DATE
after,O
holding,O
a,O
series,O
of,O
conversations,O
about,O
the,O
structure,O
of,O
the,O
White,O
House,O
staff,O
and,O
of,O
the,O
campaign,O
with,O
other,O
Bush,O
loyalists,O
and,O
GOP,O
activists,O
.,O
The,O
source,O
said,O
the,O
younger,O
Bush,O
"""",O
sketched,O
out,O
for,O
Sununu,O
"""",O
problems,O
the,O
president,O
is,O
encountering,O
because,O
of,O
the,O
chief,O
of,O
staff,O
',O
s,O
tenure,O
.,O
"""",O
He,O
was,O
told,O
...,O
the,O
handwriting,O
was,O
on,O
the,O
wall,O
",""",O
the,O
source,O
said,O
Monday,B-DATE
.,O
That,O
",",O
the,O
source,O
said,O
",",O
was,O
when,O
Sununu,O
started,O
calling,O
congressional,O
Republicans,O
and,O
asking,O
them,O
to,O
tell,O
Bush,O
that,O
the,O
conservative,O
wing,O
of,O
the,O
party,O
",",O
in,O
particular,O
",",O
would,O
object,O
if,O
he,O
were,O
fired,O
.,O
Officials,O
said,O
the,O
president,O
himself,O
met,O
with,O
Sununu,O
Sunday,B-DATE
.,O
A,O
source,O
said,O
the,O
outcome,O
of,O
that,O
session,O
was,O
unclear,O
.,O
