token,tag
Iraq,O
',O
s,O
Saddam,O
Hussein,O
",",O
his,O
options,O
for,O
ending,O
the,O
Persian,O
Gulf,O
crisis,O
growing,O
increasingly,O
unpleasant,O
",",O
assumed,O
the,O
role,O
of,O
embattled,O
Arab,O
hero,O
in,O
offering,O
his,O
first,O
rough,O
proposal,O
for,O
a,O
negotiated,O
end,O
to,O
the,O
confrontation,O
.,O
The,O
Iraqi,O
leader,O
",",O
in,O
an,O
"""",O
initiative,O
"""",O
designed,O
as,O
much,O
to,O
rally,O
Arab,O
public,O
opinion,O
as,O
to,O
launch,O
meaningful,O
negotiations,O
",",O
announced,O
yesterday,B-DATE
that,O
he,O
will,O
withdraw,O
his,O
troops,O
from,O
Kuwait,O
only,O
if,O
Israel,O
withdraws,O
from,O
the,O
West,O
Bank,O
and,O
Syria,O
from,O
Lebanon,O
.,O
He,O
apparently,O
hopes,O
to,O
lure,O
support,O
from,O
Arabs,O
who,O
have,O
spurned,O
him,O
so,O
far,O
by,O
suggesting,O
that,O
Iraq,O
will,O
use,O
its,O
occupation,O
of,O
Kuwait,O
as,O
a,O
lever,O
to,O
solve,O
the,O
Arab,O
world,O
',O
s,O
most,O
frustrating,O
problem,O
",",O
the,O
23,B-DURATION
-,I-DURATION
year,I-DURATION
Israeli,O
occupation,O
of,O
land,O
claimed,O
by,O
Palestinians,O
.,O
Even,O
as,O
Saddam,O
Hussein,O
was,O
searching,O
for,O
a,O
ploy,O
to,O
ease,O
his,O
isolation,O
",",O
though,O
",",O
the,O
international,O
pressure,O
against,O
him,O
clicked,O
up,O
another,O
notch,O
.,O
The,O
White,O
House,O
yesterday,B-DATE
disclosed,O
that,O
Kuwait,O
',O
s,O
ousted,O
government,O
has,O
formally,O
asked,O
the,O
U,O
.,O
S,O
.,O
to,O
enforce,O
the,O
total,O
trade,O
embargo,O
the,O
United,O
Nations,O
has,O
imposed,O
on,O
Iraq,O
",",O
allowing,O
the,O
U,O
.,O
S,O
.,O
and,O
other,O
nations,O
to,O
immediately,O
begin,O
stopping,O
ships,O
carrying,O
Iraqi,O
goods,O
.,O
Secretary,O
of,O
State,O
James,O
Baker,O
",",O
speaking,O
on,O
ABC,O
News,O
',O
"""",O
This,O
Week,O
",""",O
said,O
the,O
Kuwaiti,O
request,O
gives,O
the,O
U,O
.,O
S,O
.,O
and,O
other,O
countries,O
"""",O
a,O
legal,O
basis,O
for,O
stopping,O
the,O
export,O
of,O
oil,O
and,O
that,O
sort,O
of,O
thing,O
".""",O
The,O
U,O
.,O
S,O
.,O
maintains,O
that,O
under,O
the,O
U,O
.,O
N,O
.,O
charter,O
",",O
the,O
Kuwaiti,O
request,O
triggers,O
steps,O
for,O
the,O
collective,O
enforcement,O
of,O
international,O
sanctions,O
.,O
Mr,O
.,O
Baker,O
declined,O
to,O
use,O
the,O
word,O
blockade,O
",",O
but,O
said,O
that,O
"""",O
interdiction,O
"""",O
of,O
Iraqi,O
shipments,O
would,O
begin,O
"""",O
almost,O
instantly,O
".""",O
In,O
a,O
statement,O
",",O
the,O
White,O
House,O
said,O
it,O
would,O
do,O
"""",O
whatever,O
is,O
necessary,O
"""",O
to,O
ensure,O
compliance,O
with,O
the,O
sanctions,O
.,O
Other,O
Bush,O
administration,O
officials,O
said,O
that,O
the,O
international,O
naval,O
force,O
in,O
the,O
area,O
--,O
consisting,O
of,O
American,O
",",O
British,O
",",O
French,O
",",O
Canadian,O
",",O
Soviet,O
",",O
German,O
and,O
Australian,O
ships,O
--,O
may,O
be,O
used,O
both,O
to,O
stop,O
oil,O
exports,O
from,O
leaving,O
Iraq,O
and,O
Kuwait,O
and,O
to,O
stop,O
shipments,O
of,O
food,O
and,O
other,O
goods,O
from,O
going,O
in,O
.,O
President,O
Bush,O
implied,O
as,O
much,O
yesterday,B-DATE
when,O
reporters,O
asked,O
whether,O
the,O
interdiction,O
would,O
apply,O
to,O
food,O
.,O
The,O
president,O
responded,O
",",O
"""",O
Everything,O
",",O
everything,O
".""",O
While,O
shying,O
away,O
from,O
actually,O
using,O
the,O
word,O
"""",O
blockade,O
",""",O
Mr,O
.,O
Bush,O
acknowledged,O
that,O
the,O
U,O
.,O
S,O
.,O
and,O
others,O
were,O
trying,O
to,O
block,O
shipping,O
to,O
Iraq,O
.,O
"""",O
No,O
point,O
getting,O
into,O
all,O
these,O
semantics,O
",""",O
he,O
said,O
.,O
"""",O
The,O
main,O
thing,O
is,O
to,O
stop,O
the,O
oil,O
from,O
coming,O
out,O
of,O
there,O
".""",O
The,O
naval,O
interdiction,O
force,O
is,O
part,O
of,O
an,O
overall,O
American,O
strategy,O
that,O
officials,O
say,O
is,O
designed,O
to,O
leave,O
the,O
Iraqi,O
leader,O
with,O
only,O
the,O
stark,O
choice,O
of,O
backing,O
out,O
of,O
Kuwait,O
or,O
launching,O
new,O
attacks,O
to,O
change,O
his,O
situation,O
.,O
Though,O
they,O
insist,O
they,O
aren,O
',O
t,O
trying,O
to,O
lure,O
Saddam,O
Hussein,O
into,O
an,O
attack,O
",",O
officials,O
hope,O
that,O
if,O
he,O
strikes,O
again,O
",",O
the,O
U,O
.,O
S,O
.,O
and,O
its,O
allies,O
will,O
have,O
such,O
an,O
impressive,O
force,O
in,O
place,O
in,O
Saudi,O
Arabia,O
that,O
they,O
will,O
be,O
able,O
to,O
crush,O
him,O
in,O
retaliation,O
.,O
Iraq,O
',O
s,O
first,O
option,O
",",O
of,O
course,O
",",O
may,O
be,O
simply,O
to,O
sit,O
tight,O
and,O
hope,O
it,O
can,O
endure,O
a,O
trade,O
embargo,O
longer,O
than,O
the,O
West,O
can,O
live,O
without,O
Iraqi,O
and,O
Kuwaiti,O
oil,O
.,O
Speaking,O
on,O
the,O
ABC,O
program,O
",",O
Abdul,O
Amir,O
al,O
-,O
Anbari,O
",",O
Iraq,O
',O
s,O
ambassador,O
to,O
the,O
U,O
.,O
N,O
".,",O
asserted,O
that,O
an,O
embargo,O
on,O
Iraq,O
could,O
plunge,O
the,O
U,O
.,O
S,O
.,O
into,O
a,O
"""",O
depression,O
"""",O
and,O
the,O
rest,O
of,O
the,O
world,O
into,O
an,O
economic,O
"""",O
crisis,O
".""",O
Iraq,O
clearly,O
is,O
trying,O
to,O
woo,O
back,O
more,O
Arab,O
support,O
in,O
case,O
the,O
conflict,O
drags,O
on,O
",",O
hoping,O
that,O
its,O
neighbors,O
eventually,O
will,O
help,O
it,O
survive,O
a,O
prolonged,O
war,O
of,O
economic,O
attrition,O
with,O
the,O
West,O
.,O
So,O
Saddam,O
Hussein,O
on,O
Friday,B-DATE
tried,O
to,O
scare,O
other,O
Arab,O
leaders,O
into,O
supporting,O
him,O
by,O
calling,O
on,O
Arabs,O
to,O
rise,O
up,O
in,O
a,O
holy,O
war,O
against,O
leaders,O
who,O
invited,O
American,O
and,O
other,O
Western,O
soldiers,O
into,O
Saudi,O
Arabia,O
to,O
protect,O
the,O
oil,O
-,O
rich,O
kingdom,O
.,O
Then,O
yesterday,B-DATE
",",O
he,O
tried,O
to,O
entice,O
Arab,O
leaders,O
with,O
his,O
proposal,O
for,O
a,O
diplomatic,O
solution,O
linking,O
his,O
occupation,O
of,O
Kuwait,O
with,O
Israel,O
',O
s,O
occupation,O
of,O
the,O
West,O
Bank,O
.,O
The,O
proposal,O
also,O
called,O
for,O
replacing,O
American,O
and,O
other,O
Western,O
troops,O
in,O
Saudi,O
Arabia,O
with,O
Arab,O
forces,O
.,O
The,O
Bush,O
administration,O
immediately,O
said,O
it,O
"""",O
categorically,O
"""",O
rejects,O
the,O
proposals,O
.,O
And,O
President,O
Bush,O
yesterday,B-DATE
",",O
asked,O
whether,O
he,O
was,O
at,O
least,O
glad,O
Iraq,O
is,O
discussing,O
negotiations,O
",",O
replied,O
:,O
"""",O
I,O
don,O
',O
t,O
see,O
anything,O
to,O
be,O
pleasing,O
in,O
there,O
at,O
all,O
".""",O
American,O
strategists,O
are,O
calculating,O
",",O
though,O
",",O
that,O
the,O
trade,O
sanctions,O
--,O
enforced,O
by,O
an,O
effective,O
though,O
perhaps,O
undeclared,O
naval,O
blockade,O
--,O
will,O
hold,O
tightly,O
enough,O
to,O
convince,O
Iraq,O
that,O
it,O
will,O
lose,O
in,O
the,O
long,O
run,O
by,O
simply,O
standing,O
pat,O
.,O
At,O
that,O
point,O
",",O
rather,O
than,O
go,O
through,O
the,O
humiliation,O
of,O
backing,O
out,O
of,O
Kuwait,O
",",O
the,O
Iraqis,O
might,O
well,O
conclude,O
that,O
they,O
