token,tag
WASHINGTON,O
",",O
March,B-DATE
12,I-DATE
(,O
Xinhua,O
),O
--,O
Poland,O
",",O
Hungary,O
and,O
the,O
Czech,O
Republic,O
Friday,B-DATE
formally,O
joined,O
NATO,O
at,O
a,O
ceremony,O
held,O
in,O
the,O
city,O
of,O
Independence,O
",",O
Missouri,O
.,O
At,O
the,O
Harry,O
Truman,O
Library,O
in,O
Independence,O
",",O
the,O
three,O
foreign,O
ministers,O
of,O
Bronislaw,O
Geremek,O
of,O
Poland,O
",",O
Janos,O
Martonyi,O
of,O
Hungary,O
and,O
Jan,O
Kavan,O
of,O
the,O
Czech,O
Republic,O
signed,O
formal,O
documents,O
of,O
accession,O
.,O
In,O
speeches,O
before,O
the,O
signing,O
ceremony,O
",",O
the,O
ministers,O
said,O
their,O
countries,O
saw,O
NATO,O
membership,O
as,O
an,O
assurance,O
of,O
security,O
and,O
recognition,O
of,O
their,O
rightful,O
place,O
in,O
Europe,O
.,O
Kavan,O
said,O
the,O
Czech,O
Republic,O
would,O
no,O
longer,O
become,O
"""",O
the,O
powerless,O
victim,O
of,O
a,O
foreign,O
invasion,O
".""",O
Martonyi,O
called,O
Hunragy,O
',O
s,O
admission,O
in,O
NATO,O
"""",O
returning,O
to,O
her,O
natural,O
habitat,O
",""",O
saying,O
:,O
"""",O
It,O
has,O
been,O
our,O
manifest,O
destiny,O
to,O
rejoin,O
those,O
with,O
whom,O
we,O
share,O
the,O
same,O
values,O
",",O
interests,O
and,O
goals,O
".""",O
And,O
Geremek,O
said,O
it,O
was,O
"""",O
a,O
great,O
day,B-DATE
for,O
Poland,O
and,O
for,O
the,O
world,O
".""",O
