token,tag
A,O
.,O
L,O
.,O
Williams,O
Corp,O
.,O
was,O
merged,O
into,O
Primerica,O
Corp,O
".,",O
New,O
York,O
",",O
after,O
a,O
special,O
meeting,O
of,O
Williams,O
shareholders,O
cleared,O
the,O
transaction,O
",",O
the,O
companies,O
said,O
.,O
Primerica,O
",",O
which,O
had,O
owned,O
nearly,O
70,O
%,O
of,O
Williams,O
",",O
will,O
pay,O
about,O
16,O
.,O
7,O
million,O
shares,O
",",O
currently,B-DATE
valued,O
at,O
almost,O
$,O
472,O
million,O
",",O
for,O
the,O
rest,O
of,O
Williams,O
.,O
The,O
financial,O
-,O
services,O
company,O
will,O
pay,O
0,O
.,O
82,O
share,O
for,O
each,O
Williams,O
share,O
.,O
Williams,O
shares,O
",",O
which,O
were,O
to,O
be,O
delisted,O
from,O
the,O
New,O
York,O
Stock,O
Exchange,O
after,O
the,O
close,O
of,O
composite,O
trading,O
yesterday,B-DATE
",",O
closed,O
at,O
$,O
23,O
.,O
25,O
",",O
off,O
12,O
.,O
5,O
cents,O
.,O
Primerica,O
closed,O
at,O
$,O
28,O
.,O
25,O
",",O
down,O
50,O
cents,O
.,O
Williams,O
",",O
Duluth,O
",",O
Ga,O
".,",O
is,O
an,O
insurance,O
and,O
financial,O
-,O
services,O
holding,O
company,O
.,O
Its,O
subsidiaries,O
',O
services,O
are,O
marketed,O
by,O
closely,O
held,O
A,O
.,O
L,O
.,O
Williams,O
amp,O
Associates,O
.,O
Primerica,O
",",O
as,O
expected,O
",",O
also,O
acquired,O
certain,O
assets,O
of,O
the,O
agency,O
and,O
assumed,O
certain,O
of,O
its,O
liabilities,O
.,O
Terms,O
weren,O
',O
t,O
disclosed,O
.,O
